job;	MByte;	rows;		Mapreduce-time;	Mapreduce-cluster-time;	hive-time;	hive-cluster-time;	spark-time;	spark-cluster-time
1;		5;		8824;		12;				12;						8;			68;					7;			28
1;		26;		56463;		14;				14;						8;			69;					11;			28
1;		70;		141210;		18;				16;						9;			70;					14;			36
1;		184;	361968;		25;				24;						12;			71;					19;			41
1;		292;	568465;		33;				27;						17;			76;					25;			43
1;		591;	1136930;	40;				33;						21;			88;					27;			46 

2;		5;		8824;		12;				11;						7;			68;					8;			21
2;		26;		56463;		15;				15;						8;			70;					12;			33
2;		70;		141210;		19;				16;						10;			73;					16;			36
2;		184;	361968;		31;				23;						16;			77;					28;			44
2;		292;	568465;		43;				31;						19;			59;					39;			52
2;		591;	1136930;	81;				54;						25;			89;					71;			70

3v1;	5;		8824;		12+11;			11+10;					13;			34;					9;			29
3v1;	26;		56463;		12+12;			11+12;					14;			43;					13;			30
3v1;	70;		141210;		13+19;			13+19;					53;			56;					46;			45
3v1;	184;	361968;		20+34;			14+31;					145;		102;				225;		108
3v1;	292;	568465;		27+65;			28+54;					308;		206;				405;		244
3v1;	591;	1136930;	69+275;			78+162;					482;		199;				417;		303

3v2;	5;		8824;		11;				11;;;;
3v2;	26;		56463;		13;				12;;;;
3v2;	70;		141210;		30;				25;;;;
3v2;	184;	361968;		210;			193;;;;
3v2;	292;	568465;		FAILED;			FAILED;;;;
3v2;	591;	1136930;	FAILED;			FAILED;;;; 